A. 20,10 | static (int x, int y) GetValue(int a, int b){ (int x, int y) result = (0,0); a+= b; b=a-m a -= b; result.x = a; result.y = b; return result; } static void Main(string[] args){ int a = 10, b = 20; var r = GetValue(a, b); Console.WriteLine($"{r.x},{r.y}"); } The output will be: 
D. All of the others | Which of the following statements related to the limitations of ASP.NET is True? 
A.Sum | Which the following query operators can use to calculate the sum of the elements in the expression.  
A.10 | record A { (int x, int y) values = (0, 0); public A(int x, int y) => values = (x, y); public void Print(){ var r = Sum(values x, values y); Console.WriteLine($"{r}"); int Sum(int a, int b){ var s = 0; for (int i = a; i < b; i++){ s+=i;} return s;}}} class Program{ static void Main(string[| args){ A obj = new A(1,5); obj.Print(); } } The output Will be: 
D. All of the others | Which of the following statements related to Web Service is True? 
A. An event is a user-generated or system-generated action | Choose the correct statement related to events in C#. 
A. 4 | class A{ public int GetNumber(){ return 6; } } class B :A { public void Calc(ref int s) { for (int i= 1; i <= GetNumber(); i += 3) {s += i;} } class Program { static void Main(string[] args) { int 5 = 0; B obj = new BO; obj.Calc(ref s); Console.WriteLine(--s); } } The output will be: 
A <major>.<minor>-<build>.<revision> | What is the form of the NET assemblies version number? 
A.BufferedStream | Which of the following provides temporary storage for a stream of bytes that may be committed a later time? 
A.Chain of responsibility | Which of the following is one of the Behavioral Design Patterns? 
A. That is is a computing model in which the server hosts, delivers, and manages most of the services to be consumed by the client. | Which of the following statements related to Client-Sewer Architecture is True? 
A. A digit | The first character of an ienfier (variable) can not be: 
A.Core Common Language Runtime (Core CLR) | Which of the following performs functions such as memory management, error handling, and garbage collection? 
D. All of the others |Which of the following statements related to Object-Relational Mapper is True? 
A. ASP,NET Gore is a high performance, require less memory, less deployment size | What is the ASP.NET Core? 
A. A query expression is a query expressed in query syntax | Choose the correct statement related to Query Expressions 
A. BinaryWriter Which of the following allows to store primitive data types (Integers, Booleans, Strings,..) 
A. An object is an instantiation of a class | Which of the following statements is True? 
A. it is used to organize the classes | Choose the correct statement related to the Namespaces in C#? 
A. A method declared with the type parameters for its return type or parameters is called a | Which of the following statements related to the Generic Method is True? 
A. override | Which of the following keywords is used to extend or modify the abstract or virtual implement inherited method, property, or event?  
A. code library can be created in C# and can reuse that library in any other .NET program | Which of the following statements related to Assemblies is True? 
A. Defines an Instance operation that lets clients access its unique instance.| Choose the correct statement of Singleton Pattern? 
A. Dataset | What is the data representation in ADO.NETs memory? 
A. Entity Framework Core runs not only on Windows, Linux, and macOS but also on mobile Windows 10, iOS, and Android. | Which of the following is one of the new features of Entity Framework Core? 
A. thread pool is a pool of worker threads that have already been created and are available as needed | Which of the following statements related to the ThreadPool is True? 
A. Constraints inform the compiler about the capabilities a type argument must have | Which of the following statements related to Constraints on Type Parameters in Generic is True?
A.a=7,b=6,c=6 | static int GetVaIue(out int a, out int b, int c){ a = ++c; b = a++; return c; } static void Main(string[] args){ int a=3, b=4, c=5; c = GetVaIue(out a, out b, c); Console.WriteLine($"a={a},b={b},c={c}"); } Which one of the following is the output of the above code? 
A.ildasm | Which of the following tools can be used to view the MSIL code of the assemblies? 
